Name des Standortes,Nummere des Standortes,Flotten Stadt,VehicleType_Name,Kennzeichen,Flotten Referenz,Letzte Job datum,Letzte Auftragsnummer,Position,Seriennummer ,IPC,Größe,Reifenmuster,Marken,New / Retreat,RTD gemessenes Datum,RTD1,MeasuredPressure,LastOdoMeterReading,,,
,,,,,,,,2L2,E7T137830,16953,"315/70 R22,5",DURD2,Bridgestone,New,14.12.2022,16.6,,,,,
,,,,,,,,2R1,E7T137741,16953,"315/70 R22,5",DURD2,Bridgestone,New,14.12.2022,16.6,,,,,
,,,,,,,,2R2,K7T217010,16953,"315/70 R22,5",DURD2,Bridgestone,New,14.12.2022,16.6,,,,,
,,,,WL-JM1452,10033,,,,,,,,,New,,,,,,,
,,,,WL-JM1455,10036,14.09.2022,2696317,1L1,CTI6143095497,1534914,"315/70 R22,5",STEER,Non Firestone,New,14.09.2022,8.0,9.2,,,,
,,,,,,,,1R1,CTI6143095141,1534914,"315/70 R22,5",STEER,Non Firestone,New,14.09.2022,8.0,9.2,,,,
,,,,WL-JM1457,10039,,,,,,,,,New,,,,,,,
,,,,WL-JM1459,10041,,,,,,,,,New,,,,,,,
,,,,WL-JM1461,10042,,,,,,,,,New,,,,,,,
,,,,WL-JM1462,10044,,,,,,,,,New,,,,,,,
,,,,WL-JM1464,10047,,,,,,,,,New,,,,,,,
,,,,WL-JM1465,10048,,,,,,,,,New,,,,,,,
,,,,WL-JM1466,10049,,,,,,,,,New,,,,,,,
,,,,WL-JM1467,10050,,,,,,,,,New,,,,,,,
,,,,WL-JM1469,10052,,,,,,,,,New,,,,,,,
,,,,WL-JM1470,10053,,,,,,,,,New,,,,,,,
,,,,WL-JM1472,10055,,,,,,,,,New,,,,,,,
,,,,WL-JM1473,10056,,,,,,,,,New,,,,,,,
,,,,WL-JM1474,10057,,,,,,,,,New,,,,,,,
,,,,WL-JM1475,10058,,,,,,,,,New,,,,,,,
,,,Trailer,ABGEMELDET,1631,,,,,,,,,New,,,,,,,
,,,,D-AL520,TT052,,,,,,,,,New,,,,,,,
,,,,D-AL2707,TT027,06.03.2023,2992519,1L1,37715682,1534649,"385/65 R22,5",TRAILER,Non Firestone,New,06.03.2023,17.0,9.0,,,,
,,,,,,,,1R1,6150868555,1534861,"385/65 R22,5",TRAILER,Michelin,New,06.03.2023,12.0,9.0,,,,
,,,,,,,,2L1,3701923023,1534861,"385/65 R22,5",TRAILER,Michelin,New,06.03.2023,8.0,9.0,,,,
,,,,,,,,2R1,3703985291,1534861,"385/65 R22,5",TRAILER,Michelin,New,06.03.2023,11.0,9.0,,,,
,,,,,,,,3L1,6150647066,1534861,"385/65 R22,5",TRAILER,Michelin,New,06.03.2023,8.0,9.0,,,,
,,,,,,,,3R1,H2T521685,14001,"385/65 R22,5",FT522+,Firestone,New,06.03.2023,14.5,9.0,,,,
,,,,D-AL4100,TT041,,,,,,,,,New,,,,,,,
,,,,D-AL4600,TT046,14.04.2023,3055273,3L1,G2T090789,17982,"385/65 R22,5",R179,Bridgestone,New,14.04.2023,16.5,9.0,,,,
,,,,,,,,3R1,G2T090646,17982,"385/65 R22,5",R179,Bridgestone,New,14.04.2023,16.5,9.0,,,,
,,,,D-AL6202,TT062,,,,,,,,,New,,,,,,,
,,,,D-AL6770,TT067,23.08.2022,2628598,2L1,,1532790,"385/65 R22,5",CONTIHY,Continental,New,23.08.2022,14.0,9.0,,,,
,,,,D-AL6806,TT068,,,,,,,,,New,,,,,,,
,,,,D-AL8282,TT082,,,,,,,,,New,,,,,,,
,,,,WL-JH512,1759,,,,,,,,,New,,,,,,,
,,,,WL-JM108,1593,,,,,,,,,New,,,,,,,
,,,,WL-JM112,1551,06.01.2023,2979627,1R1,B2T170492,10852,"385/65 R22,5",DURT2,Bridgestone,New,06.01.2023,15.7,9.0,,,,
,,,,,,,,3R1,A2T730239,10852,"385/65 R22,5",DURT2,Bridgestone,New,06.01.2023,15.7,9.0,,,,
,,,,WL-JM117,1615,,,,,,,,,New,,,,,,,
,,,,WL-JM134,1588,,,,,,,,,New,,,,,,,
,,,,WL-JM155,1577,,,,,,,,,New,,,,,,,
