Key,row_number,date,axle_position,td,pressure,tire_size,brand,product_line,parts;;;;;;;;;;;
"ST-HS746,2574.0,2023-09-21,2TR,3.5,8.7,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-HS758,2617.0,2023-09-30,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 7996616815 for 3 axle right 
"ST-HS764,2642.0,2023-08-26,3TR,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 7993632679 for 3 axle right
ST-HS768,,,,,,,,,;;;;;;;;;;;take tires with tread depth 12 for 1 axle
ST-HS790,,,,,,,,,;;;;;;;;;;;take values from 07.10.2023
"ST-HS799,2789.0,2023-06-10,1TL,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 6015304762 for 1 axle left
"ST-HS807,2810.0,2023-06-10,1TR,4.0,8.5,385/65R22.5,FULDA,ECOTONN2,""['385/65R22.5', 'ECOTONN2', 'HL', '164K158L', 'M+S']""";;;;;;;;;;;take tires with 17,6 for 1 axle
ST-HS817,2850.0,2023-10-02,3TR,7.5,8.9,385/65R22.5,STEINKUHLER,TRAILER,['nan'];;;;;;;;;;;take values from lines 2845-2850
ST-HS818,,,,,,,,,;;;;;;;;;;;take values from 07.10.2023
ST-MS584,,,,,,,,,;;;;;;;;;;;take values from 19.10.2023
"ST-SI1870,2954.0,2023-07-08,1SR,7.0,9.0,315/70R22.5,MICHELIN,X LINE ENERGY,""['315/70R22.5', '156L150L', 'X', 'LINE', 'ENERGY', 'Z']""";;;;;;;;;;;take tires with tread depth 7 for 1 axle
"ST-SI1901,2974.0,2023-05-22,1SR,16.1,9.0,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'S', 'G2', 'HL', '156/150L', '3PSF']""";;;;;;;;;;;take tires with tread depth 16,1 for 1 axle
"ST-SI1919,3024.0,2023-05-17,1SR,9.0,9.0,315/70R22.5,MICHELIN,X MULTI ENERGY,""['315/70R22.5', '156/150L', 'X', 'MULTI', 'ENERGY', 'Z', 'VQ']""";;;;;;;;;;;leave out, need to ask client
"ST-SI1942,3074.0,2023-06-10,1SR,16.1,9.0,315/70R22.5,GOODYEAR,KMAX,""['315/70R22.5', 'KMAX', 'S', 'G2', 'HL', '156/150L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-SI2035,3136.0,2023-06-13,1DIR,2.0,8.0,315/70R22.5,MICHELIN,X MULTI D,""['315/70R22.5', '154/150L', 'X', 'MULTI', 'D', 'VG']""";;;;;;;;;;;leave out, need to ask client
"ST-SI2078,3182.0,2023-09-16,1DIR,9.0,7.5,315/70R22.5,GOODYEAR,UG,""['315/70R22.5', 'UG', 'MAX', 'D', '154L152M', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-SI2107,3209.0,2023-08-04,1SR,11.0,9.0,315/70R22.5,MICHELIN,X LINE ENERGY,""['315/70R22.5', '156/150L', 'X', 'LINE', 'ENERGY', 'Z2', 'VB']""";;;;;;;;;;;leave out, need to ask client
"ST-SI2280,3338.0,2023-05-12,1DIR,9.0,7.7,315/70R22.5,MICHELIN,X MULTI ENERGY,""['315/70R22.5', '156/150L', 'X', 'MULTI', 'ENERGY', 'Z', 'VQ']""";;;;;;;;;;;leave out, need to ask client
"ST-TA1029,3441.0,2023-05-13,2TR,17.6,9.0,385/65R22.5,DUNLOP,SP247,""['385/65R22.5', 'SP247', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-TA1045,3451.0,2023-08-04,1TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;leave out, need to ask client
"ST-TA1062,3502.0,2023-08-19,3TL,14.0,9.0,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take tires with tread depth 14 for 1 axle and 7999575189 for 3 axle left
"ST-TA1070,3511.0,2023-07-08,1TL,4.0,8.1,385/65R22.5,FULDA,REGIOTONN,""['385/65R22.5', 'REGIOTONN', '3', 'HL', '164K158L', '3PSF']""";;;;;;;;;;;take 1934735276 for 1 axle left
